"WT1","WT2","WT3","NEG1","NEG2","NEG3","pos","Potential.contaminant","Reverse","ids"
1324900,0,0,2835300,0,0,FALSE,"","","P8257409"
1397700,2600600,3778100,3553400,764170,1274500,FALSE,"","","P8146925"
0,0,837650,1634600,992340,0,FALSE,"","","P7325406"
3292700,0,0,9116800,1176200,4242700,FALSE,"","","P3754061"
1161400,0,0,0,0,0,FALSE,"","","P3907685"
1268900,0,0,2698400,0,0,FALSE,"","","P7316984"
2493900,2348900,1514200,2885500,1156900,1240800,FALSE,"","","P4097386"
1345500,407290,0,0,0,0,FALSE,"","","P2584639"
77304000,15552000,11207000,61628000,11629000,18433000,FALSE,"","","P8963071"
0,0,833380,0,0,0,FALSE,"","","P3251076"
2393800,0,0,3741300,0,0,FALSE,"","","P7039182"
1708000,3744100,0,4219600,1402600,0,FALSE,"","","P5704832"
65956000,9431600,6101300,65701000,20341000,29604000,FALSE,"","","P7560213"
6700800,0,0,0,0,0,FALSE,"","","P4798650"
0,0,0,1458900,0,0,FALSE,"","","P5947321"
0,0,0,0,0,1260800,FALSE,"","","P6134792"
4316200,3642700,1091800,3401700,986600,0,FALSE,"","","P6089473"
8477600,10471000,16203000,22597000,52869000,318250000,FALSE,"","","P2619430"
0,0,0,1268300,0,0,FALSE,"","","P5097264"
14246000,0,0,1080600,913430,903070,FALSE,"","","P2506897"
20956000,26281000,46270000,59794000,95499000,991170000,FALSE,"","","P9635124"
0,0,0,0,0,4125100,FALSE,"","","P5980623"
0,0,2966400,0,0,0,FALSE,"","","P6354819"
2411300,459630,0,1742200,594890,536640,FALSE,"","","P4928631"
20199000,7967700,6124400,25298000,3920800,2863500,FALSE,"","","P8690315"
0,0,0,1268500,650320,0,FALSE,"","","P6908125"
2740300,0,0,0,0,876320,FALSE,"","","P3780456"
4493500,7922200,2499400,7377200,3171000,969520,FALSE,"","","P3758410"
1194200,0,0,0,0,0,FALSE,"","","P3642051"
0,0,581920,0,0,0,FALSE,"","","P5862407"
12681000,0,0,0,0,0,FALSE,"","","P5270498"
3768500,0,0,2486500,0,959440,FALSE,"","","P3765892"
37062000,24608000,29978000,37816000,14222000,12341000,FALSE,"","","P1548293"
3258200,0,0,2427000,0,0,FALSE,"","","P6879413"
0,0,2316400,0,824670,973220,FALSE,"","","P3972584"
0,0,10045000,0,7765800,8669100,FALSE,"","","P1082459"
0,1693600,0,5165700,1352000,1329900,FALSE,"","","P5276348"
483650000,777980000,809470000,1093400000,820540000,1.015e+09,FALSE,"","","P1039826"
0,0,647350,0,0,254460,FALSE,"","","P2870356"
0,596680,0,0,0,0,FALSE,"","","P1460395"
20787000,6128200,26387000,15520000,3962400,4610200,FALSE,"","","P5816397"
0,0,0,1590700,862600,384700,FALSE,"","","P4596370"
7266600,3061900,3687300,9375800,0,2764100,FALSE,"","","P5179842"
9585200,0,0,9557800,1286600,2491100,FALSE,"","","P1987203"
1660800,1650700,0,2225200,0,0,FALSE,"","","P0926371"
